place_log_id,place_id,header,log_timestamp,old_value,new_value
1,1,"oprettet place","2020-10-20 13:44:21",,"{""place_id"":""1"",""place_nr"":""3"",""description"":""SF"",""place_owner_id"":null,""area_id"":""3"",""lastchecked"":null,""active"":""1""}"
2,2,"oprettet place","2020-10-20 13:44:22",,"{""place_id"":""2"",""place_nr"":""4"",""description"":""KristenDemokraterne"",""place_owner_id"":null,""area_id"":""3"",""lastchecked"":null,""active"":""1""}"
3,3,"oprettet place","2020-10-20 13:44:22",,"{""place_id"":""3"",""place_nr"":""1"",""description"":""Dansk Folkeparti"",""place_owner_id"":null,""area_id"":""3"",""lastchecked"":null,""active"":""1""}"
4,4,"oprettet place","2020-10-20 13:44:22",,"{""place_id"":""4"",""place_nr"":""5"",""description"":""Enhedslisten"",""place_owner_id"":null,""area_id"":""3"",""lastchecked"":null,""active"":""1""}"
5,5,"oprettet place","2020-10-20 13:44:22",,"{""place_id"":""5"",""place_nr"":""6"",""description"":""Radikale Venstre"",""place_owner_id"":null,""area_id"":""3"",""lastchecked"":null,""active"":""1""}"
6,6,"oprettet place","2020-10-20 13:44:22",,"{""place_id"":""6"",""place_nr"":""1"",""description"":""Brandstationens Debattelt"",""place_owner_id"":null,""area_id"":""4"",""lastchecked"":null,""active"":""1""}"
7,7,"oprettet place","2020-10-20 13:44:22",,"{""place_id"":""7"",""place_nr"":""2"",""description"":""Bedstefor\u00e6ldre for Asyl"",""place_owner_id"":null,""area_id"":""4"",""lastchecked"":null,""active"":""1""}"
8,8,"oprettet place","2020-10-20 13:44:22",,"{""place_id"":""8"",""place_nr"":""3"",""description"":""Nye Borgerlige"",""place_owner_id"":null,""area_id"":""4"",""lastchecked"":null,""active"":""1""}"
9,9,"oprettet place","2020-10-20 13:44:22",,"{""place_id"":""9"",""place_nr"":""4"",""description"":""Caf\u00e9 Brandstationen"",""place_owner_id"":null,""area_id"":""4"",""lastchecked"":null,""active"":""1""}"
10,10,"oprettet place","2020-10-20 13:44:22",,"{""place_id"":""10"",""place_nr"":""5"",""description"":""MUST"",""place_owner_id"":null,""area_id"":""6"",""lastchecked"":null,""active"":""1""}"
11,11,"oprettet place","2020-10-20 13:44:22",,"{""place_id"":""11"",""place_nr"":""5"",""description"":""Socialdemokratiet"",""place_owner_id"":null,""area_id"":""4"",""lastchecked"":null,""active"":""1""}"
